Gene_id	A1	B1	A2	A3	B2	B3	length
G000446	1321	1593	1361	1361	781	933	531
G000447	761	191	1099	845	67	322	399
G000448	1884	1652	3411	2426	654	2211	2625
G000449	2893	4266	1556	2786	2107	2343	888
G000450	677	2445	406	632	764	540	1885
G000451	17585	11182	24341	24372	10517	29120	180
G000452	980	1771	1716	1223	775	1694	672
G000453	687	1600	754	760	695	699	2343
G000454	869	815	961	833	289	559	843
G000455	1587	4830	2837	1811	1668	1935	1185
G000456	1187	3475	521	1143	883	730	2526
G000457	718	1939	379	578	776	555	1995
G000458	289	364	705	335	198	207	1139
G000459	1324	957	1183	1219	383	1535	1424
G000460	1336	1727	1011	1061	746	1273	2058
G000461	431	1385	343	537	553	582	3771
G000462	1482	1667	2027	1563	529	1702	2106
G000463	1984	4331	1909	1891	2066	2004	1248
G000464	820	468	664	978	268	907	748
G000465	2301	3992	4003	2538	1497	2672	1089
G000466	870	5503	696	817	1888	1613	1446
G000467	793	737	911	619	302	731	662
G000468	2042	1225	1773	2056	666	661	877
G000469	581	1961	893	565	879	799	963
G000470	790	1917	2085	817	794	770	615
G000471	3446	2244	4751	4142	1561	2597	513
G000472	269	109	400	393	74	394	684
G000473	2822	3098	5457	3226	744	2549	942
G000474	675	241	680	705	91	734	783
G000475	714	334	805	762	167	415	2589
G000476	6030	3046	5535	6951	1881	6302	1047
G000477	564	580	392	690	284	454	1002
G000478	2452	2210	3426	2789	937	2027	573
G000479	319	431	262	272	131	153	1218
G000480	1239	1985	790	1123	851	1148	1446
G000481	1756	2775	1777	1792	1182	1516	1104
G000482	41317	53419	27997	54896	30818	34021	633
G000483	2479	1727	2725	2360	904	1273	1745
G000484	24	20	48	30	7	20	1419
G000485	247	787	225	320	472	338	963
G000486	1754	640	1092	1766	405	2051	714
G000487	1160	2188	1375	1497	895	1045	2070
G000488	211	167	227	217	114	178	955
G000489	2608	3521	840	2566	2047	1515	3270
G000490	33131	147705	29364	39422	78711	78723	3342
G000491	134	103	203	129	50	151	813
G000492	909	1110	1155	879	584	960	1737
G000493	1892	6283	931	2085	3441	2908	2328
G000494	46	194	85	67	99	52	774
G000495	456	931	543	557	479	547	834
G000496	121	230	125	124	68	98	984
G000497	145	685	82	172	362	170	2172
G000498	140	817	104	135	366	208	1461
G000499	915	3065	805	835	774	926	2073
G000500	2441	1900	2744	2487	1113	1077	312
G000501	2231	4107	2730	2674	2224	2775	1977
G000502	13557	21306	1092	14701	10813	2153	1533
G000503	508	733	335	532	634	580	840
G000504	524	710	593	545	312	471	3192
G000505	3650	5592	3111	3041	2567	3265	990
G000506	361	861	652	408	412	410	1698
G000507	4314	1220	3573	4587	1226	4586	650
G000508	930	2773	835	979	976	605	2734
