Gene_id	A1	B1	A2	A3	B2	B3	length
G001335	2064	2904	2213	2017	1207	1769	2847
G001336	362	490	256	342	263	327	1797
G001337	182	208	166	251	255	702	402
G001338	384	257	348	276	195	114	399
G001339	493	821	536	481	584	411	1176
G001340	2056	4100	443	1928	2908	1939	1476
G001341	863	886	592	1094	690	1123	393
G001342	565	1232	490	675	795	574	1056
G001343	5942	2037	7624	6045	1688	3781	705
G001344	1628	6110	974	1766	3209	1792	1506
G001345	605	731	1106	784	247	552	2907
G001346	168	366	202	161	190	165	870
G001347	287	527	165	299	271	296	2061
G001348	509	1266	1458	516	524	543	1440
G001349	1360	4452	1332	1264	1685	1719	3075
G001350	2130	3102	1617	2077	1045	1549	1551
G001351	26	4229	21	31	1570	1081	7962
G001352	12	1801	11	9	908	1180	2979
G001353	538	350	711	525	147	255	1518
G001354	121	220	54	110	96	76	3738
G001355	881	717	1258	862	403	386	1296
G001356	922	1097	468	895	764	381	1092
G001357	291	705	99	261	537	319	909
G001358	2964	9216	4476	3710	6834	3928	756
G001359	2311	8312	1218	2405	5614	4265	724
G001360	5931	21190	4465	7095	16710	11296	1554
G001361	319	1158	598	381	549	687	2024
G001362	281	910	145	208	594	410	609
G001363	325	727	95	308	480	74	1388
G001364	3463	25530	1732	3513	8577	4910	1992
G001365	206	336	271	264	148	95	562
G001366	104	29	94	100	42	111	645
G001367	4067	4208	1405	4510	2182	2446	2529
G001368	749	556	869	863	330	434	1503
G001369	854	621	857	958	277	464	2724
G001370	2892	4936	3489	3023	3082	2443	1077
G001371	13	24	14	8	20	7	735
G001372	34	72	29	65	41	21	1125
G001373	302	708	63	306	371	59	1275
G001374	713	2940	649	730	1249	1014	2431
G001375	937	688	4373	1150	167	370	1971
G001376	1784	1607	1590	1778	778	1018	2001
G001377	937	1802	2488	868	517	518	480
G001378	2738	4399	3720	3024	2199	1938	1416
G001379	2929	11747	1957	2765	5455	3379	1269
G001380	2037	900	2088	1635	609	1588	612
G001381	413	641	524	510	306	229	756
G001382	809	2069	704	847	849	1037	1305
G001383	1101	2493	2350	989	1477	1198	641
G001384	4362	9900	3347	3766	5246	4133	1341
G001385	1638	590	1933	2074	376	1353	948
G001386	4350	2723	5195	4976	1388	1578	1634
G001387	105	57	146	135	24	88	1400
G001388	1113	2010	779	1101	915	549	2685
G001389	895	1704	732	759	877	445	903
G001390	7000	5651	4165	6548	3300	4044	1230
G001391	1471	902	861	1460	305	954	599
G001392	1594	1316	712	1539	757	1687	1111
G001393	2445	13088	447	2751	5828	3494	1014
G001394	379	116	357	336	167	128	408
G001395	641	1792	839	793	661	498	792
G001396	968	2159	1394	1152	1332	1073	749
G001397	116	166	143	133	82	83	771
G001398	1303	422	1360	1351	394	1302	378
G001399	558	924	712	639	419	541	2723
G001400	233	266	94	230	109	110	4086
G001401	981	1747	1422	1178	863	961	3579
G001402	313	713	357	358	544	363	1107
G001403	959	1765	1448	1116	998	1441	1044
G001404	844	365	651	976	296	892	318
G001405	2653	11606	4344	2625	3223	4352	1959
G001406	13	27	20	16	12	8	408
G001407	226	287	500	217	155	237	930
G001408	16	24	11	20	39	28	318
G001409	1865	591	1297	1901	415	778	336
G001410	507	2283	265	560	1086	549	1481
G001411	954	1595	1393	1045	862	1022	1803
G001412	1060	2366	853	1042	1294	594	661
G001413	860	1113	515	769	926	757	531
G001414	657	1854	620	727	1153	826	915
G001415	878	2991	1061	847	1496	841	1668
G001416	1756	1795	1023	1665	951	1062	1319
G001417	2575	1097	2526	2084	707	2187	375
G001418	665	585	1137	873	299	824	996
G001419	4929	14304	5831	5465	7549	5659	831
G001420	799	2320	689	931	1166	619	3102
G001421	388	1572	515	436	724	653	2017
G001422	27021	18345	12474	31094	15093	23151	1062
G001423	721	700	468	995	714	542	1317
G001424	1660	575	2156	2251	459	1593	405
G001425	1506	634	1528	1908	503	1328	917
G001426	1004	1286	1992	1210	877	685	885
G001427	1226	2060	2852	1084	1150	1261	525
G001428	4868	8463	2404	4489	6084	3237	1401
G001429	406	292	774	349	201	260	1089
G001430	438	366	1146	525	265	241	606
G001431	556	91	399	605	62	111	735
G001432	8097	6768	4394	8825	5052	3261	657
G001433	538	439	903	565	150	231	1047
G001434	255	76	492	257	97	47	663
G001435	3741	4343	3096	3805	1834	1764	888
G001436	23	56	5	26	34	43	390
G001437	1476	5213	813	1351	2961	1323	1523
G001438	718	1336	1356	786	636	939	1726
G001439	819	1261	575	730	1073	774	627
G001440	1046	732	1183	1379	503	771	772
G001441	127	227	114	155	145	105	821
G001442	235	322	413	256	166	199	1050
G001443	131	87	130	128	41	118	402
G001444	3123	2748	3190	3485	1685	2140	1036
G001445	5751	3539	6311	7629	2936	7380	516
G001446	1214	2517	1603	1290	1392	1192	1176
G001447	828	757	539	784	701	512	1260
G001448	654	958	388	661	892	334	1095
G001449	1779	4754	1592	1823	3602	1752	1317
G001450	24391	14393	13814	25378	7332	17134	878
G001451	1038	3738	778	1021	1249	1345	3405
G001452	791	1271	1048	794	673	509	1781
G001453	2508	8468	1800	3016	2653	2764	1344
G001454	453	1364	733	483	585	545	2586
G001455	680	1266	1137	914	651	617	1656
G001456	5498	9243	5717	6483	5614	3982	1488
G001457	309	2079	120	338	911	452	1737
G001458	3212	5451	3585	3676	3669	3495	700
G001459	485	1188	440	580	564	937	1274
G001460	244	893	679	322	454	398	621
G001461	536	4176	487	577	2412	1642	879
G001462	3534	7485	542	3869	3311	1105	1950
G001463	372	353	536	636	176	410	1047
G001464	7393	15941	8277	7095	6973	7885	660
G001465	1682	7211	2006	1907	3540	2787	824
G001466	3244	4534	2626	3687	2362	3621	1362
G001467	7218	23500	4264	7937	15805	11061	1162
G001468	341	517	408	389	243	498	1302
G001469	376	1709	304	361	858	782	2322
G001470	2178	4376	1820	2369	3793	2799	576
G001471	465	245	419	543	234	257	1110
G001472	104912	112460	96887	166101	93014	301507	786
G001473	2098	2715	2219	2355	2404	2861	636
G001474	394	1204	269	467	815	638	693
G001475	237	209	116	220	114	73	1275
G001476	436	300	455	700	129	450	285
G001477	5058	3256	2624	4882	2121	3321	1083
G001478	902	541	1069	1181	308	529	303
G001479	1258	2458	715	1130	1412	1039	1551
G001480	1133	1051	669	966	958	755	921
G001481	5799	3508	6639	6843	2019	4728	414
G001482	1705	3616	379	1700	1300	303	1482
G001483	303	1217	305	319	680	537	1471
G001484	783	1204	778	769	742	926	897
G001485	28914	57531	10472	31504	41496	42001	1230
G001486	199	511	429	232	246	323	1272
G001487	1250	3415	2253	1379	1691	2277	1166
G001488	188	464	544	249	238	312	4020
G001489	66	90	29	66	44	46	972
G001490	53	47	72	59	28	30	1647
G001491	577	684	1133	852	388	1031	1192
G001492	2794	1240	1803	3637	797	2133	624
G001493	5180	10788	9002	5325	3117	7462	1788
G001494	1351	2171	2637	1677	1194	1204	627
G001495	26	4	59	40	4	13	531
G001496	442	2030	1208	728	747	745	1314
G001497	2069	2581	1765	2363	1386	1719	1052
G001498	474	1060	430	435	404	567	1488
G001499	252	676	304	273	300	157	536
G001500	3232	2006	3845	3798	1267	4656	827
G001501	306	121	234	364	147	333	762
G001502	3011	12489	7087	3773	4840	4068	951
G001503	138	190	151	144	68	49	1395
G001504	354	658	246	401	339	276	1044
G001505	599	916	823	663	347	505	2250
G001506	927	1360	733	986	566	1060	2718
G001507	1624	669	1344	1398	365	431	618
G001508	29648	63719	17213	37811	41295	33285	2715
G001509	99077	39921	57163	97715	35494	56144	534
G001510	297	174	427	331	187	124	902
G001511	235	222	205	229	110	145	1161
G001512	739	1099	2640	950	568	696	975
G001513	628	664	1389	866	802	1449	1020
G001514	6917	5835	11480	7619	5052	5173	1281
G001515	46	122	78	84	51	106	1377
G001516	415	428	350	297	138	76	773
G001517	691	364	629	745	124	320	936
G001518	1298	2708	1009	1310	900	1801	6813
G001519	169	245	342	176	80	197	1422
G001520	1056	747	774	903	347	744	546
G001521	19756	14809	17364	23103	8755	10488	648
G001522	2027	3630	800	2181	2502	1807	734
G001523	278	1315	353	326	295	605	1548
G001524	532	1562	2292	614	630	650	1206
G001525	6728	3388	7088	6962	1439	3798	801
G001526	141860	176854	32414	158184	90778	109601	684
G001527	381	659	91	427	254	348	603
G001528	439	220	332	536	98	313	849
G001529	886	3037	495	792	2682	991	927
G001530	3263	8143	4079	3708	2782	3895	2424
G001531	476	273	672	487	254	505	602
G001532	272	790	468	351	271	316	2028
G001533	518	443	633	628	288	456	1191
G001534	169	70	257	224	47	93	1149
G001535	133	390	234	165	154	158	729
G001536	0	6	0	0	9	9	354
G001537	4176	2136	3204	4381	1799	7754	598
G001538	216	297	307	243	178	469	1038
G001539	922	5949	542	863	2576	1760	1263
G001540	5123	3700	5127	7727	2216	6001	418
G001541	496	1893	503	539	478	418	1785
G001542	1948	1172	4015	3441	677	1306	796
G001543	535	859	346	484	487	462	1473
G001544	821	1513	767	914	763	1044	2389
G001545	1259	2412	1693	1399	980	1046	1248
G001546	3926	5850	5585	4637	4952	4318	612
G001547	5485	23392	6058	6825	13014	12813	2262
G001548	4	13	3	2	7	5	627
G001549	75	74	106	78	62	58	1410
G001550	48	243	18	45	122	91	1065
G001551	80	89	186	109	36	66	1386
G001552	175	83	460	179	114	105	1188
G001553	5402	6324	5828	6425	4746	3949	939
G001554	44133	7879	18244	46581	5882	13461	321
G001555	321	582	400	360	222	356	700
G001556	3521	2005	4171	4699	1504	6142	1098
G001557	803	562	937	987	394	1756	639
G001558	557	755	526	645	335	318	1185
G001559	209	914	221	244	363	432	987
G001560	723	3668	630	750	1496	1810	1767
G001561	58	12	144	51	9	33	663
G001562	1494	3351	1062	2237	1604	2117	1314
G001563	30	98	15	17	38	39	741
G001564	271	812	208	322	463	412	831
G001565	661	257	651	606	181	156	630
G001566	2863	930	2504	2773	701	2392	937
G001567	226	92	442	353	17	52	3980
G001568	58	43	314	234	23	83	853
G001569	251	810	446	331	374	297	1701
G001570	386	296	613	453	194	219	789
G001571	522	181	1770	849	127	425	1473
G001572	2353	2993	2723	2586	1550	2305	3189
G001573	800	897	586	779	416	471	1185
G001574	1332	3358	1449	1265	1346	1023	1563
G001575	4631	928	3159	4281	740	1738	729
G001576	1391	1658	1114	1642	1517	1722	1575
G001577	116	43	131	169	22	121	815
G001578	951	418	653	883	281	392	1191
G001579	1491	597	1139	1760	548	718	523
G001580	286	130	302	289	72	226	1335
G001581	145	64	100	166	44	47	1117
G001582	1020	2040	1068	1151	878	1353	1650
G001583	289	830	378	328	489	380	1611
G001584	4754	6939	8617	5786	3620	3371	843
G001585	409	738	331	774	303	521	978
G001586	610	1907	475	667	719	1024	3468
G001587	1743	5112	954	1843	2661	1498	1746
G001588	1252	1439	516	1173	649	601	1159
G001589	441	720	311	458	398	308	5829
G001590	1019	589	619	947	673	355	955
G001591	339	201	595	445	225	445	495
G001592	368	416	773	538	308	212	1029
G001593	3543	7559	5299	3284	4757	3552	483
G001594	2193	5220	513	1956	3600	1004	453
G001595	7476	4548	7066	8630	3106	8138	810
G001596	217	438	337	206	199	225	588
G001597	81	437	80	76	171	154	963
G001598	633	151	514	796	82	79	537
G001599	985	1977	878	895	554	809	3092
G001600	272	467	205	231	208	229	2063
G001601	986	1214	549	1114	724	682	1815
G001602	1146	1171	847	1144	615	628	1806
G001603	1057	846	700	1065	644	509	918
G001604	12190	9215	16913	12314	4317	4829	639
G001605	1795	289	3269	2138	283	446	846
G001606	2620	10254	1870	2567	4087	3827	3357
G001607	806	924	463	1043	517	317	2523
G001608	1111	2121	996	1229	1219	878	1851
G001609	144	3612	128	165	1148	646	8919
G001610	1718	3421	3462	2108	1582	1584	588
G001611	5214	8014	6950	4932	4964	3215	645
G001612	621	733	873	717	285	500	1608
G001613	966	1897	830	958	1057	953	1632
G001614	2889	3338	2242	2734	3015	1754	433
G001615	3371	3529	3557	3304	2440	3622	883
G001616	5651	2001	4284	6335	1704	5364	396
G001617	4413	4722	1730	4819	3628	4570	1056
G001618	11945	4088	6696	9404	2715	8950	549
G001619	1610	1362	2286	1638	973	904	492
G001620	2796	1239	2648	2977	943	778	440
G001621	1620	2209	2215	1979	1118	2247	3279
G001622	747	1155	1330	1032	871	584	786
G001623	1372	641	1844	1456	409	594	656
G001624	836	2853	1035	955	1191	1257	1716
G001625	908	1717	611	834	858	948	6270
G001626	176	40	97	180	37	77	360
G001627	616	761	208	705	680	390	1317
G001628	11967	6150	8742	17260	5215	6049	507
G001629	0	25	0	0	8	16	852
G001630	0	6933	0	4	4784	34441	639
G001631	1422	1756	1910	1749	1229	1602	2139
G001632	1047	1811	1813	907	1030	725	1002
G001633	220	47	175	238	64	25	609
G001634	58	8	110	101	6	28	426
G001635	73	18	146	107	10	15	1665
G001636	116	41	51	70	53	19	633
G001637	2974	5880	5709	3509	3550	3578	1200
G001638	753	551	1492	700	369	273	1047
G001639	919	889	723	923	668	538	858
G001640	436	130	481	353	82	179	519
G001641	525	930	772	426	547	360	837
G001642	983	2603	572	957	940	696	2307
G001643	727	1395	334	628	893	926	1086
G001644	4456	2043	3185	5075	1358	2833	537
G001645	8729	4369	6124	8210	3494	3662	438
G001646	325	246	642	449	176	100	2115
G001647	265	1493	222	276	762	877	2496
G001648	150	257	160	141	115	236	555
G001649	496	2878	242	512	1868	1035	990
G001650	587	3236	451	717	1227	1820	3384
G001651	608	2582	509	596	1410	1016	841
G001652	666	4048	197	636	1491	527	4293
G001653	3383	2132	1782	3719	1395	2570	932
G001654	277	2178	146	309	537	280	1125
G001655	3061	1769	2516	3879	1062	2715	1116
G001656	419	913	645	445	393	518	1763
G001657	1822	1378	2452	2575	1070	1086	561
G001658	76	117	128	81	88	98	792
G001659	1696	2976	594	1611	1526	1497	1470
G001660	2403	4269	993	2171	1847	1685	10117
G001661	925	3024	1541	998	1202	1175	789
G001662	152	93	169	153	101	63	786
G001663	315	856	260	357	489	438	1008
G001664	410	1119	525	453	504	480	4201
G001665	1970	580	1467	2059	505	1369	544
G001666	688	933	1693	733	628	491	486
G001667	507	1060	676	473	639	289	941
G001668	441	1738	266	447	609	588	2258
G001669	512	684	465	476	477	422	933
G001670	730	1206	321	653	681	427	1487
G001671	537	263	1135	737	406	192	1639
G001672	1149	877	1938	1424	994	2666	672
G001673	320	796	407	441	573	516	1120
G001674	11081	25271	10724	12900	20120	18066	1131
G001675	526	908	562	616	527	585	669
G001676	307	664	795	453	335	503	1245
G001677	6764	4096	2820	7683	2692	4817	642
G001678	1013	1718	1309	971	1064	710	996
G001679	5766	13765	5396	7274	9579	7245	714
G001680	34016	89357	30070	40363	86861	45748	1401
G001681	5815	2749	3102	5806	2326	5284	426
G001682	767	1604	959	960	693	1429	1341
G001683	1891	1265	1506	2247	696	1818	1074
G001684	281	1387	173	240	442	298	1812
G001685	2484	5374	2850	2579	3257	2620	1191
G001686	2193	2799	1031	2380	1797	1964	1365
G001687	1683	6422	947	1784	3098	2105	2469
G001688	682	949	844	773	461	520	2444
G001689	431	926	599	456	365	431	1521
G001690	609	1015	917	702	510	1037	1401
G001691	761	4260	1955	849	2182	1308	1549
G001692	552	1513	247	587	750	477	1286
G001693	2185	779	1487	2038	491	3676	498
G001694	167	605	185	128	274	332	2391
G001695	7123	7039	7123	6957	3911	6677	933
G001696	46186	21907	26452	78629	14091	29495	404
G001697	1141	3669	566	1121	2288	1215	942
G001698	8952	16020	13072	10779	12854	7048	642
G001699	4990	12811	5555	6011	5676	8521	2235
G001700	710	1068	965	796	389	652	2949
G001701	337	242	404	455	138	272	2183
G001702	2347	2465	2679	3185	1789	1417	654
G001703	17844	4493	11122	19797	3790	7431	535
G001704	5552	1695	5649	7886	1349	3642	407
G001705	1765	2952	899	1850	2365	1135	1338
G001706	2925	16141	1381	3489	8754	1993	1305
G001707	3530	1031	2546	3663	681	2564	501
G001708	1885	644	3103	2166	660	1928	462
G001709	131	102	438	396	42	318	597
G001710	2272	954	3459	3938	631	3106	783
G001711	779	359	626	770	287	378	534
G001712	998	749	795	1130	322	718	771
G001713	2471	4919	4571	2480	3008	3017	1335
G001714	1882	1633	2952	1924	1498	2471	498
G001715	45661	51302	48713	60676	56365	73639	354
G001716	306	798	309	284	386	628	930
G001717	1874	3084	1848	1718	2392	2873	1368
G001718	58	31	29	40	50	24	579
G001719	84	76	162	96	81	133	633
G001720	674	372	614	779	305	633	1082
G001721	12737	19313	14441	13100	9613	17287	573
G001722	750	583	678	773	254	1048	1141
G001723	191	581	683	319	269	481	996
G001724	220	1100	234	206	571	600	1767
G001725	468	1971	252	462	1036	983	1894
G001726	355	2615	78	303	1429	370	1206
G001727	684	2255	671	966	717	1631	1278
G001728	3335	2340	5315	4581	1476	8209	549
G001729	544	4501	265	504	1670	1389	1926
G001730	502	3406	383	558	841	849	3984
G001731	1428	1840	1736	1347	987	1601	594
G001732	198	1005	279	260	535	579	2463
G001733	1761	3809	967	1548	2137	993	348
G001734	1191	1840	1684	1291	988	2184	1053
G001735	8276	14387	10126	9015	9632	12971	1464
G001736	368	3334	584	380	1837	1252	687
G001737	273	1670	203	299	909	456	1236
G001738	278	990	271	279	359	340	2187
G001739	69	231	153	206	109	214	1281
G001740	342	1222	615	451	556	922	600
G001741	18091	27261	24030	19256	12739	21564	525
G001742	2496	2385	4566	3525	2111	2668	484
G001743	4355	8543	2527	4100	5885	4856	1563
G001744	1378	2889	1241	1682	2225	2443	972
G001745	61	131	86	80	111	142	603
G001746	839	2566	882	766	1754	1448	2055
G001747	353	1732	1210	484	734	1009	909
G001748	229	1954	87	260	924	471	1620
G001749	2126	12708	510	2258	7423	2854	2124
G001750	1589	1571	2960	4065	1387	10361	450
G001751	216	1659	207	190	590	654	2727
G001752	39	107	113	36	84	40	1850
G001753	1108	5577	430	1248	3445	2523	679
G001754	22074	35773	27980	28957	23989	25108	624
G001755	1671	1643	1529	1641	1336	3044	809
G001756	406	1081	359	392	904	656	1260
G001757	61416	44085	45959	54844	37016	49452	384
G001758	2167	4026	1956	2144	1916	1955	678
G001759	510	1541	996	587	708	867	861
G001760	731	6150	680	862	2487	2011	2044
G001761	2170	5316	1423	2719	5043	3390	703
G001762	35	36	76	34	21	17	582
G001763	8353	12670	10159	8650	7035	9133	969
G001764	408	551	466	636	264	720	651
G001765	656	4089	934	762	1854	1750	1599
G001766	517	1471	359	598	692	1294	1965
G001767	961	2986	954	1280	1297	1340	1320
G001768	180	122	140	193	69	361	534
G001769	140	42	118	181	23	142	786
G001770	429	1110	524	481	469	710	2307
G001771	21	36751	12	29	32901	39066	1494
G001772	30	1184	22	27	723	1126	1683
G001773	488	770	1488	866	291	1125	2169
G001774	524	992	456	501	374	517	2472
G001775	11698	8914	6061	12554	7472	6731	585
G001776	1968	541	1563	2260	368	1444	633
G001777	153	88	154	172	56	139	459
G001778	1577	1218	3781	2567	729	1641	1905
G001779	262	954	239	339	560	359	1983
G001780	7054	78520	8521	8551	72187	27770	1107
G001781	2343	1234	2819	2472	775	2517	405
G001782	1701	1973	2241	2013	993	1477	771
G001783	1202	3511	3639	1407	1343	2021	1521
G001784	1172	2869	1995	1237	1869	1588	1284
G001785	380	1631	155	355	765	545	1672
G001786	677	1896	617	738	980	801	1923
G001787	2991	9925	1413	2545	4355	3183	2685
G001788	287	1097	235	360	461	419	1302
G001789	12	5	5	18	11	16	1680
G001790	9	5	11	8	1	7	735
G001791	401	75	299	402	25	131	480
G001792	1440	1304	621	1660	561	1000	1098
G001793	3595	4486	2355	3685	2859	1871	309
G001794	244	141	400	460	49	203	2808
G001795	295	588	227	227	194	443	2147
G001796	977	2678	860	1493	1111	2050	1848
G001797	136	299	284	93	225	91	531
G001798	2896	1809	2679	3573	1284	3630	1149
G001799	1340	3138	841	1340	1901	1583	675
G001800	12103	3954	14612	20030	2655	19259	750
G001801	1710	665	740	1493	436	923	723
G001802	4666	1821	2742	5589	2253	1708	567
G001803	84324	105905	25622	95487	129484	75625	1407
G001804	700	1316	900	815	533	821	672
G001805	979	1035	1294	1172	726	611	943
G001806	587	487	812	651	273	403	3018
G001807	7909	2775	4724	8638	2612	6180	552
G001808	553	23	1424	502	194	151	699
G001809	5502	20919	5718	6285	14721	8202	1884
G001810	2030	535	3684	2425	996	879	531
G001811	102	205	213	105	122	136	1191
G001812	94	383	112	111	228	269	321
G001813	1110	1039	1307	1318	530	850	3916
G001814	1011	1300	1762	1083	600	917	1218
G001815	3412	6413	1470	4244	6720	3846	1515
G001816	677	1130	1031	739	705	456	957
G001817	702	568	256	711	614	545	1257
G001818	1129	1736	1395	1244	1264	1753	2142
G001819	82	5228	85	109	2103	2258	15210
G001820	3410	13021	1404	3610	8584	5118	1059
G001821	524	1740	1412	573	789	576	1137
G001822	279	608	517	343	223	474	1419
G001823	363	430	349	275	292	373	930
G001824	6128	16465	4744	7038	5457	9124	456
G001825	6773	20729	4106	7081	10544	10530	2412
G001826	479	1557	460	412	542	607	2115
G001827	1078	2369	918	1107	1103	1224	1076
G001828	308	576	665	401	215	567	2418
G001829	1201	4071	1561	1449	1889	2537	1752
G001830	1901	5176	3624	2266	5250	3373	546
G001831	2448	10177	2700	2346	3803	4976	1473
G001832	417	819	831	429	375	295	1222
G001833	445	847	546	555	524	403	1072
G001834	3380	9940	4141	3873	2974	6979	5733
G001835	1350	2308	1079	1126	882	787	588
G001836	1072	5700	945	1180	2084	1914	1695
G001837	204	351	214	231	237	330	1143
G001838	116	158	222	95	88	203	204
G001839	545	492	578	507	288	935	489
G001840	2228	8080	727	2039	3604	3374	1306
G001841	4535	3110	1601	4048	1354	2898	633
G001842	4008	8221	5162	4259	5837	5163	897
G001843	2030	1656	2026	2173	1179	3997	576
G001844	1006	3854	1315	1163	1856	1482	1070
G001845	196	114	198	197	57	216	306
G001846	1747	1156	1584	1797	914	1514	477
G001847	155	164	359	313	79	375	1332
G001848	209	313	57	201	181	86	1216
G001849	404	927	312	338	375	515	1734
G001850	539	748	574	638	315	282	768
G001851	425	933	133	397	454	296	1731
G001852	1186	1536	578	1121	947	727	825
G001853	781	1330	621	715	743	557	2392
G001854	986	3621	951	1197	1546	2208	2310
G001855	68	109	324	306	56	775	422
G001856	2361	914	2614	2861	529	3717	1334
G001857	9721	6962	7151	13010	5608	19175	657
G001858	2676	5481	2827	2924	4328	2869	786
G001859	588	863	797	608	401	589	618
G001860	8	3	35	19	4	5	618
G001861	484	649	741	663	247	486	1614
G001862	334	620	867	386	289	447	639
G001863	659	1123	897	856	740	988	441
G001864	19	26	10	12	16	29	891
G001865	7237	5314	5470	9169	3933	12315	573
G001866	840	1104	1386	881	326	638	828
G001867	116	80	191	159	37	146	954
G001868	109	88	56	96	70	73	1326
G001869	2684	603	1332	1863	560	2027	552
G001870	453	390	451	377	463	401	639
G001871	7676	1953	6042	7492	1807	9257	302
G001872	366	245	609	505	158	534	3943
G001873	115324	72449	122396	132612	65417	66728	858
G001874	270	1510	237	215	616	527	2433
G001875	1107	798	1375	1099	662	1212	699
G001876	74	85	113	82	65	86	1209
G001877	210	80	346	265	68	130	1770
G001878	39054	12748	52173	47169	10897	36742	657
G001879	3426	3111	3137	3111	1890	2403	2730
G001880	59	3096	14	45	1147	1119	5740
G001881	208	584	263	370	321	1451	795
G001882	371	776	622	419	391	558	2195
G001883	350	3110	318	446	1159	904	2925
G001884	596	1108	655	642	870	446	945
G001885	387	578	497	331	318	418	1239
G001886	9895	19217	8504	10576	16560	18418	1482
G001887	365	485	391	370	424	327	1144
G001888	1351	4972	1075	1235	2253	2111	6228
G001889	279	1754	223	317	818	611	2316
G001890	944	4760	936	1017	2782	2240	1503
G001891	8062	25737	4926	9800	23804	19575	1383
G001892	108	407	95	115	178	94	792
G001893	172	54	260	186	40	112	390
G001894	1094	571	1156	1212	388	1108	486
G001895	449	2291	917	493	1133	1299	1656
G001896	226	848	324	246	284	493	1722
G001897	1219	6325	1388	1191	2471	2224	6656
G001898	657	1877	657	754	771	983	1038
G001899	2048	12271	1179	2572	8987	4308	597
G001900	895	1631	921	860	783	690	1161
G001901	268	943	169	284	660	441	1634
G001902	1053	5245	413	942	1913	705	2631
G001903	2569	1909	3160	3070	1357	2068	1065
G001904	518	148	484	672	135	272	447
G001905	552	1730	537	551	945	858	2028
G001906	432	243	739	827	202	439	706
G001907	1316	1852	1322	1261	1190	1596	1726
G001908	457	694	404	419	604	430	936
G001909	898	568	800	1162	540	943	677
G001910	543	2923	1505	644	1449	2319	1977
G001911	535	1390	572	718	1207	775	1251
G001912	2610	3046	2595	2496	1993	2030	1343
G001913	8282	3742	4793	6424	2630	4125	680
G001914	864	1260	545	691	1473	929	1029
G001915	7990	4175	9981	8925	3356	8015	769
G001916	882	1224	1032	991	876	828	1193
G001917	773	1922	233	732	1217	434	1877
G001918	1004	1114	582	985	795	635	876
G001919	246	175	377	277	147	227	447
G001920	193	260	224	204	184	130	2238
G001921	5974	5051	651	5643	3677	1173	816
G001922	1487	2079	2021	1604	976	1475	3726
G001923	3315	1827	7858	2830	989	1656	741
G001924	37	12	184	164	14	80	366
G001925	228	805	202	277	293	222	1836
G001926	4680	656	2801	3739	846	1366	369
G001927	24	9	75	27	14	3	267
G001928	3820	8177	1893	4453	4536	3481	4020
G001929	183	39	320	292	38	165	945
G001930	935	1194	1153	969	883	800	1326
G001931	6242	8578	9557	6174	5793	3425	1278
G001932	88643	61465	101592	93332	63517	80710	657
G001933	1370	3020	2840	1549	1492	1420	1887
G001934	115	37	109	110	30	17	542
G001935	1484	833	1171	1319	787	504	348
G001936	940	280	709	1535	293	707	324
G001937	6593	1986	5157	6177	1019	4872	694
G001938	1547	1935	2964	1814	850	1538	1218
G001939	259	521	483	297	243	248	1464
G001940	1798	648	1935	2419	522	1436	312
G001941	159	63	181	173	29	127	627
G001942	861	1630	841	1094	628	901	3280
G001943	143	282	137	190	105	127	2667
G001944	5763	3218	7512	7007	2487	3095	624
G001945	2088	4010	2252	2520	1572	2081	2235
G001946	2499	2518	3438	2253	999	1731	2142
G001947	595	256	1117	1233	190	1078	541
G001948	500	319	653	758	239	491	669
G001949	29614	12658	19367	37803	10277	18251	686
G001950	542	738	948	580	419	352	1008
G001951	3724	1900	4839	5575	863	2305	1056
G001952	24810	18341	27886	31231	13620	9068	360
G001953	888	2095	311	995	1274	564	1221
G001954	727	1200	1007	642	479	609	1416
G001955	629	1068	1325	727	499	944	1747
G001956	1004	1776	872	1070	779	776	2301
G001957	175570	166515	166316	200824	88377	205790	668
G001958	619	733	1041	895	330	898	1425
G001959	264	221	335	223	112	352	792
G001960	6024	2677	6796	7552	1956	4386	430
G001961	1026	1250	1675	917	442	857	1020
G001962	2339	1066	3195	2554	850	3862	570
G001963	1794	5510	1161	2056	3064	1299	936
G001964	3633	2406	4586	5698	1428	3901	793
G001965	2389	7699	3043	3238	3096	2274	1061
G001966	348	906	874	557	208	507	2754
G001967	634	1007	624	742	652	509	1038
G001968	894	560	1508	1457	234	710	1111
G001969	775	1743	1046	861	879	945	3621
G001970	2395	1773	2796	3477	1008	1533	330
G001971	96	143	166	88	85	105	735
G001972	2404	9520	1475	2205	4856	2874	2811
G001973	143	398	210	175	154	185	1293
G001974	152	472	145	146	157	195	1986
G001975	3554	10716	1011	3742	9701	7663	615
G001976	1841	12087	1496	2110	6525	4888	2691
G001977	133	103	230	140	49	97	645
G001978	959	3126	957	937	2316	1800	1860
G001979	30	50	18	31	29	31	594
G001980	141	1333	169	149	393	260	4143
G001981	121	412	77	142	242	128	741
G001982	50	117	42	59	93	41	1179
G001983	316	1912	243	265	917	563	489
G001984	382	1637	914	391	866	699	1131
G001985	170	1217	125	190	680	345	2307
G001986	346	1454	400	435	424	539	5019
G001987	3847	16560	2561	4197	8641	5781	3805
G001988	5274	8214	4364	5587	5914	7227	844
G001989	914	923	677	939	438	1681	1608
G001990	531	754	1060	556	401	705	1176
